template_id,median_z,mean_z,minchi2,mode_z,z_sigma68,z_sigma,z_mc
9,0.645618939172944,0.6430935837525855,0.6261412523449508,0.68,0.05302821084263859,0.05146932500382213,0.6813428104060328
9,0.6427507651597945,0.6402397828018179,0.6726702113737701,0.68,0.05384597550612186,0.05193468430048841,0.7108668797815002
9,0.6481185466520432,0.6454182287270783,0.6562124541924277,0.68,0.05243901578079957,0.0511060113662309,0.6733957173345994
9,0.6451631398104481,0.6425932135177395,0.6832024396085217,0.68,0.053205581886415165,0.05156303505914785,0.7038565232785352
22,0.8426641809649914,0.8450307236614845,3.2308976543242807,0.92,0.10768141802609249,0.10891121405904021,0.8010344457758602
21,0.8431508534599405,0.8448342833281857,3.723312087749207,0.86,0.10444941459705204,0.10398000636566003,0.7870959794027641
21,0.8410616250720699,0.8425502202827025,4.080247785753045,0.86,0.1048017648636641,0.10394170290905864,0.8415122442403359
21,0.8456988968935457,0.846818741817073,4.1399569395817934,0.91,0.10195515607502365,0.10084690614421468,0.8342894511661775
21,0.8430125649428158,0.8441832948203317,4.309810747401684,0.91,0.10340079958261528,0.10224476684897793,0.8225001455026606
9,0.3245780418359318,0.3519678177177089,1.337491042630063,0.32,0.08324539762253974,0.07611772358198599,0.3057661894655942
9,0.32503157790665327,0.35206795112161593,1.3694326550976257,0.32,0.0827627294354513,0.07571129162942747,0.314617589466392
9,0.3250545146743045,0.3520768006862516,1.2960061821722775,0.32,0.08247573554524279,0.07550010466142015,0.2477239113636334
9,0.3246142427293207,0.3519722382921355,1.4011052778932935,0.32,0.08341523944487034,0.07623618615808285,0.2485915533413118
9,0.3248895866847409,0.3520359192911367,1.335378721325469,0.32,0.08282288236648985,0.07577195382046592,0.2603238495263186
10,0.7483310913797933,0.7541737449180966,3.671624061714283,0.75,0.020853348359552104,0.020875294834027697,0.7498404007870397
10,0.7500410948289646,0.7558204030156782,3.3848828200389107,0.75,0.020936897323864945,0.02095099279294065,0.7662554217707336
10,0.7498161585940103,0.755652189105591,3.767575251586095,0.75,0.021012427875981954,0.021006809386290175,0.7465874480878648
10,0.7489466676036471,0.7547578927212336,3.492477473393592,0.75,0.020892871338516916,0.02092548881834149,0.7646000168941878
10,0.7491060681377589,0.7549245050818357,3.5252535210320275,0.75,0.020892460074341368,0.02091301698886423,0.7354388789181164
10,0.7735455002631967,0.7787178566972589,0.18178039796566736,0.78,0.014245927636608757,0.014615287668201239,0.7600267085510941
10,0.7731546406925965,0.7782942675248676,0.16318381566179596,0.78,0.014404403376020836,0.0146282958994124,0.783238344889862
10,0.7733594735848394,0.7785255878507857,0.21903754448339896,0.78,0.01431971858631137,0.014625047362475455,0.7880343056906584
10,0.773305724257795,0.778450108513306,0.13971248316011042,0.78,0.014348863694365388,0.014620267600790661,0.7855846848939363
10,0.7733594332110123,0.7785163183660209,0.1749438688493683,0.78,0.014324645795378343,0.01462195206580746,0.7714012018003263
5,0.9935474980960898,1.0285633189459908,0.5844106691780553,0.9600000000000001,0.17075894476868309,0.1842229359625801,1.046292129672979
4,0.9916138622170128,1.0271576001460465,0.5806774898017295,0.9600000000000001,0.16950611979066393,0.18318067106287786,0.7076232384025416
5,0.9999667173181755,1.0364944488554886,0.6062457153554135,0.97,0.17376417856379062,0.18508707688182036,1.1913324486920214
