template_id,median_z,mean_z,minchi2,mode_z,z_sigma68,z_sigma,z_mc,concentration_i,concentration_cal_i,asymmetry_i,clumpiness_i,gini_i,m20_i,mag_sersic_i,mag_cal_i,re_sersic_i,re_cal_i,n_sersic_i,n_sersic_cal_i,ellipticity_sersic_i,ellipticity_sersic_cal_i
4,0.7691016974031221,0.7755844129405038,12.722144651053895,0.77,0.026011826454073073,0.024897170792840914,0.8082231074751853,1.6528599,-0.5088301,0.116811,0.0586566,0.451302,-1.55391,20.502958,-0.087841034,1.0317364,0.059336364,1.4238098,-1.0072901,0.67935705,-0.25844294
4,0.7712374849084284,0.7773878730885077,12.850325612172128,0.77,0.026076602524325032,0.02501673730735053,0.7849157967810512,1.6528599,-0.5088301,0.116811,0.0586566,0.451302,-1.55391,20.502958,-0.087841034,1.0317364,0.059336364,1.4238098,-1.0072901,0.67935705,-0.25844294
22,0.23190190046926154,0.3059127250497676,1.2702814428976126,0.5700000000000001,0.22026468531369253,0.18360882470879383,0.09676979499746646,2.60024,0.44160008,0.221879,0.13599,0.488641,-1.42504,19.166952,-0.041347504,3.5256817,-0.5963185,1.9639916,0.3501916,0.35535604,-0.048943937
22,0.2298030941536028,0.3035258136108811,1.3002261074962007,0.5700000000000001,0.22035793904160886,0.1832198161860868,0.2204233521173643,2.60024,0.44160008,0.221879,0.13599,0.488641,-1.42504,19.166952,-0.041347504,3.5256817,-0.5963185,1.9639916,0.3501916,0.35535604,-0.048943937
22,0.23088466769639954,0.30390775352734883,1.2728030731996114,0.5700000000000001,0.21980458082306492,0.1825942713065541,0.26972043098815585,2.60024,0.44160008,0.221879,0.13599,0.488641,-1.42504,19.166952,-0.041347504,3.5256817,-0.5963185,1.9639916,0.3501916,0.35535604,-0.048943937
22,0.2300519311193938,0.3036910776506546,1.3080120167178393,0.5700000000000001,0.2201883283453592,0.18308512313858133,0.19166399777715049,2.60024,0.44160008,0.221879,0.13599,0.488641,-1.42504,19.166952,-0.041347504,3.5256817,-0.5963185,1.9639916,0.3501916,0.35535604,-0.048943937
22,0.23051874896363866,0.3040186023352738,1.289191707779537,0.5700000000000001,0.22011072623267547,0.18302271511930088,0.09928524056380807,2.60024,0.44160008,0.221879,0.13599,0.488641,-1.42504,19.166952,-0.041347504,3.5256817,-0.5963185,1.9639916,0.3501916,0.35535604,-0.048943937
27,0.16872280262672087,0.17148517092869928,0.035310554203533684,0.17,0.03345923866831871,0.05040958528652647,0.18607032974456492,2.0455952,-0.511485,0.119075,0.0490196,0.518987,-1.59856,20.812359,-0.087841034,0.6628364,0.059336364,1.21381,-1.0072901,0.62125707,-0.25844294
27,0.16828751105188275,0.17083304839941357,0.028256332512683002,0.17,0.033121904006406716,0.04993104770835676,0.037085962002663314,2.0455952,-0.511485,0.119075,0.0490196,0.518987,-1.59856,20.812359,-0.087841034,0.6628364,0.059336364,1.21381,-1.0072901,0.62125707,-0.25844294
27,0.1691798726934496,0.1717236972807742,0.03904396937741694,0.17,0.03354588560927366,0.05002082940027809,0.1728712035804433,2.0455952,-0.511485,0.119075,0.0490196,0.518987,-1.59856,20.812359,-0.087841034,0.6628364,0.059336364,1.21381,-1.0072901,0.62125707,-0.25844294
